23-08-21 17:54:20.964 : Beta-------------------------------->0
23-08-21 17:54:20.965 : Writing to denoising0.1_Omsi_1_rank_10_eta_1_beta_0.0001-0.005-linear_exp/image_samples/msi_sigma_0,05_withoutmaskandreinit_continue_current_iteration_1000-2000_0-0_beta_0_iterpoint_60_lr_0.0005
23-08-21 17:54:20.965 : Writing log file to denoising0.1_Omsi_1_rank_10_eta_1_beta_0.0001-0.005-linear_logger_withoutmaskandreinit_continue_current_iteration_1000-2000_0-0_beta_0_iterpoint_60_lr_0.0005
23-08-21 17:54:25.684 : iteration: 59, psnr: 5.877536168838079, psnr_best: 5.882993944248431
23-08-21 17:54:25.701 : iteration: 60, psnr: 5.87958360346032, psnr_best: 5.882993944248431
23-08-21 17:54:25.718 : iteration: 61, psnr: 5.882224249273544, psnr_best: 5.882993944248431
23-08-21 17:54:25.739 : iteration: 62, psnr: 5.887650559720383, psnr_best: 5.887650559720383
23-08-21 17:54:25.757 : iteration: 63, psnr: 5.880465208300382, psnr_best: 5.887650559720383
23-08-21 17:54:25.777 : iteration: 64, psnr: 5.888581195001775, psnr_best: 5.888581195001775
23-08-21 17:54:25.804 : iteration: 65, psnr: 5.888704946009099, psnr_best: 5.888704946009099
23-08-21 17:54:25.831 : iteration: 66, psnr: 5.8904401616696624, psnr_best: 5.8904401616696624
23-08-21 17:54:25.850 : iteration: 67, psnr: 5.889120461435071, psnr_best: 5.8904401616696624
23-08-21 17:54:25.867 : iteration: 68, psnr: 5.88540491301624, psnr_best: 5.8904401616696624
23-08-21 17:54:25.888 : iteration: 69, psnr: 5.89750507593803, psnr_best: 5.89750507593803
23-08-21 17:54:25.908 : iteration: 70, psnr: 5.897135090192416, psnr_best: 5.89750507593803
23-08-21 17:54:25.927 : iteration: 71, psnr: 5.88561363357515, psnr_best: 5.89750507593803
23-08-21 17:54:25.955 : iteration: 72, psnr: 5.892846178472654, psnr_best: 5.89750507593803
23-08-21 17:54:25.974 : iteration: 73, psnr: 5.894915034253039, psnr_best: 5.89750507593803
23-08-21 17:54:25.995 : iteration: 74, psnr: 5.890918555463461, psnr_best: 5.89750507593803
23-08-21 17:54:26.022 : iteration: 75, psnr: 5.891386518465323, psnr_best: 5.89750507593803
23-08-21 17:54:26.044 : iteration: 76, psnr: 5.8976238448602025, psnr_best: 5.8976238448602025
23-08-21 17:54:26.076 : iteration: 77, psnr: 5.889207560351075, psnr_best: 5.8976238448602025
